user,product,images,content,score,total,like,dislike
AVOC*,무드인핸서 리퀴드 마뜨 얼루어먼트,"['http://assets6.cre.ma/p/hince-co-kr/reviews/00/00/01/91/65/image1/thumbnail_3a604e2a7f292062.jpg', 'http://assets6.cre.ma/p/hince-co-kr/reviews/00/00/01/91/65/image1/thumbnail_3a604e2a7f292062.jpg']",세상 예쁜 무드인핸서리퀴드마뜨✨전색상다 가지고 싶은 정도!!!! 너무 좋아요💙🤍🧡💛💙🤍🧡💛💙🤍🧡💛, 아주 좋아요,0,0,0
네이버 페이 구매*,무드인핸서 리퀴드 마뜨 얼루어먼트,[],만족다쓰면재구매하려고요(2020-07-11 16:49:58 에 등록된 네이버 페이 구매평), 아주 좋아요,0,0,0
네이버 페이 구매*,무드인핸서 리퀴드 마뜨 얼루어먼트,[],만족화면과 색상이 똑같아요 제가 원했던 색상~~ 발림은 글로시해도 밀착감 좋구요 건조하지 않아서 좋네요~~^^(2020-07-11 11:15:12 에 등록된 네이버 페이 구매평), 아주 좋아요,0,0,0
네이버 페이 구매*,무드인핸서 리퀴드 마뜨 얼루어먼트,"['http://assets6.cre.ma/p/hince-co-kr/reviews/00/00/01/90/90/image1/thumbnail_dcc21d6852c9ae70.jpg', 'http://assets6.cre.ma/p/hince-co-kr/reviews/00/00/01/90/90/image1/thumbnail_dcc21d6852c9ae70.jpg']",이 제품은 품질이 아주 좋아!(2020-07-09 21:31:28 에 등록된 네이버 페이 구매평), 아주 좋아요,0,0,0
네이버 페이 구매*,무드인핸서 리퀴드 마뜨 얼루어먼트,[],만족합니다 색 이뻐요 잘쓸게요(2020-07-08 16:49:38 에 등록된 네이버 페이 구매평), 아주 좋아요,0,0,0
네이버 페이 구매*,무드인핸서 리퀴드 마뜨 얼루어먼트,[],만족예뻐요 마음에 든다고 하네요(2020-07-06 15:59:41 에 등록된 네이버 페이 구매평), 아주 좋아요,0,0,0
김미*,무드인핸서 리퀴드 마뜨 얼루어먼트,[],와👏👏👏역시 색맛집가격대 때문에 살짝 고민되지만 사용하고 나면 후회 안합니다진짜 이뻐요 또 구매합니다!, 아주 좋아요,0,0,0
박소*,무드인핸서 리퀴드 마뜨 얼루어먼트,[],좋아요 ㅎㅎ, 아주 좋아요,0,0,0
네이버 페이 구매*,무드인핸서 리퀴드 마뜨 얼루어먼트,[],만족예뻐요!!!!언능마스크빼고 요것만 바르고 외출하고프네요..ㅠㅠ다른색깔도 보고있어요~ㅎㅎ추천추천ㅎ(2020-07-05 22:17:17 에 등록된 네이버 페이 구매평), 아주 좋아요,0,0,0
네이버 페이 구매*,무드인핸서 리퀴드 마뜨 얼루어먼트,[],만족얼루어 립스틱을 쓰다가 이번에 틴트형으로 나왔다고 해서 구매했습니다 역시 색은 말할 것도 없이 너무 예쁘고 발색/유지력도 좋네요ㅠㅜ 저녁먹고 바르고 립 안지웠는데 아침까지 있었어요ㅎㅎ 그리고 바르고 휴지로 두어번닦아내주면 종이컵에도 묻어나지 않았습니다(2020-07-05 10:27:17 에 등록된 네이버 페이 구매평), 아주 좋아요,0,0,0
임지*,무드인핸서 리퀴드 마뜨 얼루어먼트,"['http://assets6.cre.ma/p/hince-co-kr/reviews/00/00/01/89/09/image1/thumbnail_a41ec421ea6e2ef2.jpg', 'http://assets6.cre.ma/p/hince-co-kr/reviews/00/00/01/89/09/image1/thumbnail_a41ec421ea6e2ef2.jpg']",미쳤음 그냥 사셈;, 아주 좋아요,0,0,0
구예*,무드인핸서 리퀴드 마뜨 얼루어먼트,"['http://assets6.cre.ma/p/hince-co-kr/reviews/00/00/01/88/83/image1/thumbnail_86cea59eccab4f35.jpg', 'http://assets6.cre.ma/p/hince-co-kr/reviews/00/00/01/88/83/image1/thumbnail_86cea59eccab4f35.jpg']",가장 위에있는 색상인데 연한 로즈 mlbb 톤에 모브빛 한방울 떨어뜨린 느낌이라 너무 흰끼돌지 않고 베이스로도 단독으로도 매력적인 색상이에요!, 아주 좋아요,0,0,0
심정*,무드인핸서 리퀴드 마뜨 얼루어먼트,"['http://assets6.cre.ma/p/hince-co-kr/reviews/00/00/01/88/81/image1/thumbnail_18c1fd6838d8c124.jpg', 'http://assets6.cre.ma/p/hince-co-kr/reviews/00/00/01/88/81/image2/thumbnail_5dfe0d3af10b1d27.jpg', 'http://assets6.cre.ma/p/hince-co-kr/reviews/00/00/01/88/81/image1/thumbnail_18c1fd6838d8c124.jpg', 'http://assets6.cre.ma/p/hince-co-kr/reviews/00/00/01/88/81/image2/thumbnail_5dfe0d3af10b1d27.jpg']",일단 케이스가 너무 예뻐요ㅠㅠ 로고도 하단부분에 깔끔하게 박혀있고차분한 핑크색에 매트하되 건조하지 않아서 좋은 것 같아요 향은 초콜렛향이 나서 바르기에 무난하고 좋습니다!!, 아주 좋아요,0,0,0
홍민*,무드인핸서 리퀴드 마뜨 얼루어먼트,[],색상보고 반해서 구매했어욤얼루어도 예쁜데 이건 더예뻐요ㅜㅜ입술에 잘발리고 색 진짜 너무 예쁘네요배송도 엄청 빨랐어요~다음번엔 다른 색상도 구매해볼게욤^^, 아주 좋아요,0,0,0
